image;id;name;name2;description;price;url;category;forever_url
https://iglika.me/products_img/Product_details_JPG/1078b.jpg;1078;Forever Absorbent-D;Абсорбент-D;Открийте силата на Абсорбент-D – удобна хранителна добавка, доставяща витамин D и вписваща се идеално в натовареното ви ежедневие.;32.61 лв.;1078.html;Добавки;https://thealoeveraco.shop/o6CfTF3U
https://iglika.me/products_img/Product_details_JPG/1085b.jpg;1085;Forever AloeTurm;Форевър АЛОЕТУРМ; Уникалната ни формула съдържа индийска куркума и е подсилена с цинк, който допринася за нормалната функция на имунната система.;14.90 лв.;1085.html;Добавки;https://thealoeveraco.shop/wP6hdOv4
https://iglika.me/products_img/Product_details_JPG/1013b.jpg;1013;Absorbent-C;Абсорбент-С;Създаден, за да осигури на тялото ви препоръчителната дневна доза на витамин С по лесен и вкусен начин.;40.06 лв.;1013.html;Добавки;https://thealoeveraco.shop/N3oIaEKt
https://iglika.me/products_img/Product_details_JPG/1014b.jpg;1014;Forever Arctic Sea;Арктическо море;Създаден, за да осигури балансирана комбинация от омега-3 мастни киселини.;72.68 лв.;1014.html;Добавки;https://thealoeveraco.shop/6poMbxCu
https://iglika.me/products_img/Product_details_JPG/1015b.jpg;1015;Argi+;Арги;Осигурява на тялото ви L-аргинин, мощна аминокиселина, по удобен и вкусен начин.;156.84 лв.;1015.html;Добавки;https://thealoeveraco.shop/j8KpEC9A
https://iglika.me/products_img/Product_details_JPG/1016b.jpg;1016;Forever B12 Plus;Форевър B12 плюс;Формула за освобождаване във времето, която осигурява постоянна доставка на активните съставки за тялото ви през целия ден.;35.50 лв.;1016.html;Добавки;https://thealoeveraco.shop/NIm8bMsN
https://iglika.me/products_img/Product_details_JPG/1017b.jpg;1017;Forever Bee Pollen;Пчелен прашец;Със съдържание на чист пчелен прашец, комбиниран с мед и пчелно млечице.;34.91 лв.;1017.html;Добавки;https://thealoeveraco.shop/8aXa6pM6
https://iglika.me/products_img/Product_details_JPG/1018b.jpg;1018;Forever Bee Propolis;Пчелен прополис;Добавката поддържа защитните сили на организма, съдържа естествени хранителни съединения и е източник на флавоноиди.;72.68 лв.;1018.html;Добавки;https://thealoeveraco.shop/15Dx7TdM
https://iglika.me/products_img/Product_details_JPG/1019b.jpg;1019;Forever Calcium;Форевър Калций;Създаден за да достави калций, витамин D и да помогне за поддържането на правилното здраве на костите.;54.94 лв.;1019.html;Добавки;https://thealoeveraco.shop/EXaSQPQi
https://iglika.me/products_img/Product_details_JPG/1020b.jpg;1020;Forever Garlic-Thyme;Чесън и мащерка;Съчетава всички ползи от чесъна и мащерката в едно.;41.79 лв.;1020.html;Добавки;https://thealoeveraco.shop/knIGG0bV
